,נפגעים - קשה,נפגעים - קל,תאונות - כללי - קשות,תאונות - כללי - קלות,תאונות - דו גלגלי - נפגעים - קל,נפגעים - הרוגים,תאונות - כללי - קטלניות,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קלות,תאונות - משאית - נפגעים - קל,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - תאונות - קשות,תאונות - משאית - נפגעים - קשה,תאונות - הולכי רגל - נפגעים - קשה,תאונות - הולכי רגל - תאונות - קשות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - תאונות - קטלניות,תאונות - דו גלגלי - תאונות - קלות,תאונות - משאית - תאונות - קשות,תאונות - משאית - נפגעים - הרוגים,תאונות - משאית - תאונות - קטלניות,תאונות - הולכי רגל - נפגעים - הרוגים,תאונות - הולכי רגל - תאונות - קטלניות
25::כניסה לשגב שלום:כניסה לא תעשייה באר שבע,0,24,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לקאונטרי קלאב:צומת עולים,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::צומת עולים:כניסה למזבלה,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לשדה תעופה:כניסה לאשל הנשיא,0,7,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לאשל הנשיא:כניסה לתפרח,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25::כניסה לקק""ל:כניסה לחווה (מגדה)",0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לשיבולים:כניסה לשרשרת (צפון),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לשרשרת (צפון):כניסה לנתיבות,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לעזתה:כניסה לנתיבות מע,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לנתיבות מע:כניסה לתקומה,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לתקומה:כניסה לשובה,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31::כניסה לרהט (מזרח):כניסה ללקיה,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31::כניסה ללקיה:כניסה לתחנת דלק (,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34::צומת נתיבות:כניסה ליושיביה,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34::כניסה ליושיביה:צומת יכיני,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34::כניסה לגבים:כניסה לניר עם,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34::כניסה לניר עם:כניסה לשדרות (מערב),0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34::כניסה לשדרות (מערב):כניסה לאור הנר (מזרח),0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34::כניסה לאור הנר (מזרח):כניסה לארז (מזרח),0,20,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
35::כניסה ליד נתן:כניסה לרווחה,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35::כניסה לרווחה:כניסה לקק""ל",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35::כניסה לבית גוברין:צומת גוברין,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38::צומת נחושה:כניסה למצפה משואה,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
38::כניסה להרטוב:כניסה לא תעשייה בית שמש,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38::כניסה לא תעשייה בית שמש:כניסה למחצבה,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40::צומת שיזפון:צומת ציחור,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40::כניסה למשאבי שדה:כניסה לעיר הבה""ד",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40::כניסה לעיר הבה""ד:כניסה לרמת בקע",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לניר בנים:כניסה לקדמה,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לקדמה:כניסה לתימורים,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לתימורים:צומת מלאכי (קסטינה),0,19,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
40::צומת מלאכי (קסטינה):כניסה לערוגות,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לברורים:כניסה לבני ראם (מערב),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לבני ראם (מערב):כניסה לחצב,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לחצב:כניסה לגדרה,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40::כניסה לגבעת ברנר:כניסה לבי""ח קפלן",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לסתרייה:כניסה לפרדס,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לפרדס:כניסה לישרש,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לבארות יצחק:כניסה למגשימים,0,5,0,2,1,1,1,0,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0
40::כניסה לנחלים (צפון):כניסה לשעריה,0,4,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לשעריה:כניסה לעמישב,0,7,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40::כניסה לעמישב:יישוב פ""ת רח גורדון",0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40::יישוב פ""ת רח הוותיקים:צומת סגולה",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41::צומת נמל אשדוד:כניסה לניר גלים,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41::כניסה לניר גלים:כניסה לבני דרום,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42::כניסה לכפר אביב:כניסה לבן זכאי,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42::כניסה לתחנת דלק:כניסה לכפר הנגיד,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42::כניסה לעיינות:כניסה לבית חנן,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42::כניסה לבית חנן:כניסה לנטעים,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::כניסה למשרדי קקל:כניסה לתעוז,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::כניסה לכפר אוריה:כניסה להראל,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::כניסה להראל:כניסה לצלפון,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::צומת הגבורה (נחשון):כניסה לכרמי יוסף,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44::כניסה לבית עוזיאל:כניסה ללוד (יוספטל, החשמל)",0,25,0,9,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
44::השוק הסיטונאי (צריפין):הסוכנות (צריפין),0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::כניסה לראשון לציון רח הרצוג חי:כניסה למשמר השבעה,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::כניסה למכון המטאורולוגי:יישוב אזור רח קפלן,0,18,0,11,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::יישוב אזור רח קפלן:יישוב חולון רח המלאכה,0,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::יישוב חולון רח המלאכה:צומת אזור (רח הרצל),0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55::צומת צופין:כניסה לבית אריזה,0,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55::כניסה למעלה שומרון:כניסה לקרני שומרון,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55::כניסה לקדומים:כניסה לכפר קדום,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57::כניסה לא תעשייה נתניה:כניסה לשיכון ותיקים (דגניה),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57::כניסה לכפר יונה (מזרח):כניסה לחניאל,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::יישוב באר שבע (לערד):צומת תל שבע,0,25,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::צומת תל שבע:כניסה לעומר,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לעומר:כניסה לא תעשייה עומר,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לא תעשייה עומר:כניסה לאבו כף אום בטין,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::צומת שוקת:כניסה למיתר,0,17,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60::צומת עתניאל:כניסה לעבדה,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לעבדה:כניסה לחברון,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לכרמי צור:צומת ביר אומר,0,4,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
60::כניסה לאלעזר:כניסה לנווה דניאל,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לנווה דניאל:צומת בית לחם,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::צומת בית לחם:צומת קבר רחל,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::צומת קבר רחל:כניסה לאזור תעשיה,0,23,0,10,5,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
60::כניסה לאזור תעשיה:כניסה לעפרה,0,14,0,5,4,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1
60::כניסה לשילה:כניסה לעלי-מעלה לבונה,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לעלי-מעלה לבונה:כניסה למעלה לבונה,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה למעלה לבונה:כניסה לעמוריה,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לרחלים:כניסה לביתא,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה למגן שאול:כניסה לצנדלה,0,5,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
60::צומת גן דוד:יישוב עפולה (לנצרת),0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::יישוב עפולה (לנצרת):כניסה לבלפוריה,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לבלפוריה:כניסה לכפר גדעון,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לכפר גדעון:כניסה למזרע,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60::כניסה למזרע:כניסה למ""א יזרעאל",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60::כניסה למ""א יזרעאל:כניסה לתל עדשים",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::צומת חדרה (מזרח):צומת גרנות,0,7,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
65::צומת גרנות:כניסה לתלמי אלעזר,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לתלמי אלעזר:כניסה למרכז מנשה,0,17,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה למרכז מנשה:כניסה ליער עירון+מחצבה,0,39,0,14,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
65::כניסה לתחנת דלק עירון:כניסה לערה,0,18,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לעין איברהים:כניסה למוצמוץ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה למוצמוץ:כניסה לאל משירפה,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לעפולה עילית:כניסה למזנון דברת,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה למזנון דברת:כניסה לדברת ואלון תבור,0,8,0,4,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
65::כניסה לדברת ואלון תבור:כניסה לאום אל-רום,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לאום אל-רום:כניסה לשבלי (מזרח),0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לשבלי (מזרח):צומת מנחם אוסישקין,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66::כניסה לגבעת עוז:צומת מגידו,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66::צומת מגידו:כניסה למגידו,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66::כניסה למגידו:כניסה להיוגב,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66::כניסה להיוגב:כניסה למדרך עוז,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66::כניסה למשמר העמק:כניסה לנחלאות,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה למחצבה:כניסה לכאבול,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לגדידה:כניסה לטל-אל,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לבית העמק:כניסה לעמקה,0,16,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לעמקה:כניסה לשוק דנון,0,13,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לשוק דנון:כניסה לנתיב השיירה,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::צומת השיירה:כניסה לכברי,0,15,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לכברי:צומת עבדון,0,8,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
71::יישוב עפולה (לבית שאן):כניסה למרחביה (מושב),0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71::כניסה למרחביה (מושב):כניסה לבית השיטה,0,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73::כניסה לנהלל:כניסה לרמת דוד (מחנה),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73::כניסה לגבת:כניסה ליפעת,0,6,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
73::כניסה ליפעת:כניסה לשריד,0,6,0,3,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
73::כניסה לא תעשייה שריד:כניסה לגיניגר,0,15,0,6,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
75::כניסה לנצרת עילית (חרמון):כניסה לקריית הממשלה,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75::צומת נצרת (דרום):כניסה לכפר החורש,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75::כניסה ליער כפר החורש:כניסה לתמרת,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75::כניסה לתמרת:כניסה למנשית זבדה,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75::כניסה לבית שערים:כניסה לרמת ישי,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75::כניסה לקרית טבעון (מזרח):כניסה לטבעון,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75::כניסה לטבעון:כניסה לשער העמקים,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77::צומת רומת אל היי:כניסה לאזור תעשייה ציפורית,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77::כניסה לאזור תעשייה ציפורית:כניסה לבית רימון,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77::כניסה לאחוזת נפתלי:כניסה למצפה,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77::כניסה למצפה:יישוב טבריה שד ספיר,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79::כניסה להסוללים:כניסה לעילוט,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87::כניסה לאכסניית כרי דשא:כניסה לעין טבחה,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87::כניסה לעין טבחה:כניסה לכפר נחום,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87::כניסה לכפר נחום:צומת אלמגור (מזרח),0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89::צומת כברי:כניסה למשתלת כברי,0,6,0,4,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89::כניסה למעלות (דר:כניסה לצוריאל,0,20,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה לצוריאל:כניסה להר זבול,0,11,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה לסאסא:כניסה לצבעון,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה לצבעון:כניסה לגוש חלב,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה לגוש חלב:כניסה לספסופה,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה לספסופה:כניסה למרום הגליל,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91::צומת מחניים:כניסה למחניים,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91::כניסה לגדות:צומת שיפון,0,19,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92::כניסה להאון:כניסה לחניון עין גב,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
92::כניסה לרמות:כניסה למחצבה,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99::צומת המצודות:כניסה לאזור תעשייה קרית שמונה צפ,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99::כניסה לאזור תעשייה קרית שמונה צפ:כניסה למנחת מטוסים,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99::כניסה למעיין ברוך:כניסה לבי""ס דפנה",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99::כניסה לדפנה:כניסה לדן,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99::כניסה לדן:כניסה לתל דן,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99::כניסה לתל דן:כניסה לשניר,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99::כניסה לשניר:כניסה לעין קיניא,0,11,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
99::כניסה לעין קיניא:צומת מסעדה,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204::צומת חלוקים:כניסה למחנה אורה,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204::כניסה למחנה אורה:כניסה לירוחם (צפון),0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204::כניסה לירוחם (צפון):כניסה לאזור תעשייה,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לניר יצחק:צומת גבולות,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
232::צומת גבולות:כניסה לעין הבשור,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לרעים (צפון:כניסה לבארי,0,12,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
232::צומת סעד:כניסה לסעד,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לכפר עזה:כניסה למפלסים,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה למפלסים:צומת שער הנגב,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::צומת שער הנגב:כניסה לק חנוך שער הנגב,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לק חנוך שער הנגב:כניסה לפארק תעשיות ספירים,0,5,0,2,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
232::כניסה לפארק תעשיות ספירים:כניסה לשדרות,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לברור חיל:כניסה ללפידות (חלץ),0,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לכוכב מיכאל:צומת גבעתי,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::צומת גבעתי:צומת הודייה,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258::צומת צפית:כניסה למפעלי רותם,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
367::צומת כפר צוריף:כניסה לאלון שבות,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375::צומת האלה:צומת עדולם,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"375::כניסה לנתיב הל""ה:כניסה לעמק האלה",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383::צומת כפר מנחם:כניסה לשערי אברהם,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"383::כניסה לכפר הרי""ף:כניסה לגפן",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383::כניסה לתירוש:כניסה לשדות מיכה,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395::צומת אשתאול:כניסה לכסלון,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395::כניסה לכסלון:כניסה לרמת רזיאל,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395::כניסה לרמת רזיאל:כניסה לגל עד,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395::כניסה לצובה:כניסה לבי""ס חקלאי עין כרם",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411::יישוב כפר גבירול רח הרדוף:כניסה לקריית עקרון,0,16,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411::כניסה לקריית עקרון:כניסה לעקרון,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411::צומת מזכרת בתיה:כניסה למזכרת בתיה,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375::צומת עציונה:כניסה לזנוח,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,נפגעים - הרוגים,נפגעים - קל,תאונות - כללי - קטלניות,תאונות - כללי - קלות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - נפגעים - קל,תאונות - דו גלגלי - תאונות - קטלניות,נפגעים - קשה,תאונות - משאית - נפגעים - קל,תאונות - כללי - קשות,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קלות,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - תאונות - קשות,תאונות - משאית - נפגעים - קשה,,,,,,,,
3866::צומת נס הרים:כניסה לנס הרים ממערב,1,3,1,2,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,
8993::כניסה לחרבת אדמית:כניסה לאדמית,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,
